Car Make,City,Money,Frequency,Gender,Language
Ford,Ribeirão Pires,,Yearly,Male,
Porsche,,Euro,Once,Male,
,Espumoso,Real,Never,Male,
Kia,Montpellier,Euro,Often,Female,Tok Pisin
,Sitiarjo,Rupiah,Seldom,Male,
Dodge,Luotuo,Yuan Renminbi,Often,Male,
Chevrolet,,Yuan Renminbi,Monthly,Female,Thai
Mitsubishi,Fengren,,Daily,Male,
Toyota,Xiamao,Yuan Renminbi,Often,Male,
Oldsmobile,Xinhuang,Yuan Renminbi,Daily,Male,Tsonga
Jeep,Rubio,,Daily,Male,
Suzuki,Kuala Baru,,Weekly,Male,
Chrysler,Tanjung,Rupiah,Seldom,Male,
Chevrolet,Mat-i,,Never,Female,
,Nantes,,Weekly,,
Volvo,Saint-Sauveur,Dollar,Once,Female,
Pontiac,Sztum,,Often,,
Mercedes-Benz,Siliana,Dinar,Yearly,Male,
Dodge,,Peso,,Male,Armenian
,Tehetu,Yuan Renminbi,Seldom,Male,
Lexus,Yagoua,Franc,Often,Female,
Audi,Dunhao,Yuan Renminbi,,Male,
Kia,Veselí nad Lužnicí,,,Male,
Subaru,Manfalūţ,Pound,Seldom,Male,
Chevrolet,Kelungkung,Rupiah,Never,Female,
Mercury,Khānaqāh,Afghani,Never,Male,
Mercedes-Benz,Panolan,Rupiah,Weekly,Female,
Pontiac,Tchintabaraden,Franc,Monthly,,
Toyota,Atlanta,,Monthly,Female,
Honda,Rosetta,Pound,Once,Female,
Subaru,Candi Prambanan,Rupiah,Once,Female,Thai
MINI,Jinqu,,Monthly,Female,
,Providencia,Sol,Seldom,Female,
Mercury,Jeremi,Gourde,Never,Male,
Land Rover,,,Never,,
Infiniti,Dangmu,Yuan Renminbi,Once,Female,Dutch
Ford,Kokoshkino,Ruble,Weekly,Female,
,Filimonovo,Ruble,Never,Male,
GMC,,Peso,Once,Female,Maltese
Mitsubishi,Farafangana,Ariary,Yearly,Male,
Audi,Broby,Euro,Once,Female,
GMC,,Ruble,Daily,Male,Quechua
Hyundai,Patos de Minas,Real,Never,Female,
,,Franc,Once,Female,
GMC,Cambridge,,Daily,Female,
Mazda,Malo,Rupiah,Once,Female,
Chevrolet,Creil,Euro,Often,Male,Tetum
Morgan,,Ruble,Seldom,Male,
Chevrolet,Panagyurishte,Lev,Once,Female,
Ford,Huangzhai,Yuan Renminbi,,Female,
,Phetchaburi,Baht,Daily,Female,
Acura,Krajan C Wonorejo,,Monthly,Female,
Chevrolet,Padamulya,,Once,Male,Ndebele
Ford,Nal’chik,Ruble,,Male,
Buick,Bato,Peso,Often,Male,
Dodge,Nawá,Pound,Never,Male,
,Fenghuanglu,,Once,Female,Papiamento
Ford,Pil’na,Ruble,Once,Male,
GMC,,Rial,Yearly,Male,
Toyota,Vareš,Marka,Monthly,Female,
,Cotorra,Peso,Once,Female,
GMC,Gävle,Krona,Once,,
Chrysler,Anaráchi,Euro,Often,Female,Gagauz
Honda,Alpūrai,Rupee,Monthly,Female,
Kia,San José de Feliciano,,Never,Male,
Lamborghini,Thị Trấn Trùng Khánh,,,Female,
Chevrolet,Profítis Ilías,Euro,,Male,Papiamento
,Lávara,,Weekly,,
,Stockholm,Krona,Often,Female,
,Sucre,Boliviano,Weekly,Male,
Toyota,Dimbokro,,Often,Male,Bislama
Ford,Henglu,Yuan Renminbi,Weekly,Female,
Volkswagen,Degeberga,Krona,Once,Male,
GMC,Cimenga,Rupiah,Often,,
Volkswagen,Al Kittah,Dinar,Once,Male,
Toyota,Shuangfeng,Yuan Renminbi,Once,Male,
Volkswagen,Wichita,Dollar,Monthly,Female,
Nissan,Lanos,,,Male,
Suzuki,Daxing,Yuan Renminbi,,Female,
,Gokwe,Dollar,Weekly,Female,
Hyundai,Tamarindo,Sol,Monthly,,Moldovan
,,Yuan Renminbi,Often,Female,
Chevrolet,,Lev,Seldom,Male,Sotho
,Khudoyelanskoye,,Monthly,Female,
Honda,Doubrava,Koruna,Once,,Icelandic
Volkswagen,Xishaqiao,,Never,Female,Armenian
Land Rover,Ban Na Muang,Baht,Never,Male,
,,Euro,Daily,Male,
Ford,Hengshui,Yuan Renminbi,Daily,Female,Luxembourgish
Cadillac,,Rupiah,Monthly,Female,
Subaru,Thívai,,Seldom,Female,
Nissan,Lousado,,Weekly,Female,
Hyundai,Cincinnati,Dollar,Daily,Male,
Infiniti,,Krone,Weekly,Male,
Ford,Trondheim,,Daily,Female,
Chevrolet,Santo André,Real,Monthly,Female,
Mazda,Changyanbao,,Never,Male,Pashto
Chevrolet,Brudzeń Duży,,Often,Male,
Rolls-Royce,Semampir,Rupiah,Seldom,Male,
,Kishi,,Once,,Dzongkha
Buick,Farīdpur,Taka,Often,Female,
Acura,Le Puy-en-Velay,Euro,Yearly,Female,
,Duba,,Weekly,Male,
Toyota,Karabas,Tenge,Yearly,Female,
Mercury,Dobra,Zloty,Never,Male,
Chevrolet,,,Once,Female,
,Posadas,Peso,Once,Female,
,Outeiro de Polima,Euro,Weekly,,
Isuzu,Krajan Tegalombo,Rupiah,Often,Male,
GMC,Marcovia,Lempira,Often,Female,
Mazda,Yezhi,Yuan Renminbi,Never,Male,
Chevrolet,Kassala,Pound,Once,,
Chevrolet,Ballymahon,,Monthly,Male,
Pontiac,,,,Female,
,Malaga,Euro,Seldom,,Icelandic
Ford,Tit Mellil,Dirham,Often,Male,
Toyota,,Yen,Daily,Female,
Ford,Pangkungparuk,Rupiah,,Male,
,,Real,Yearly,Female,
,,,,Male,
Audi,,Ringgit,Yearly,Female,
,Kembangarum,Rupiah,Daily,Female,
Land Rover,Drakino,Ruble,Daily,,
Audi,Bailieborough,Euro,Yearly,Male,
Dodge,Jubao,,Seldom,Female,
,Kuala Terengganu,Ringgit,Yearly,Male,
Dodge,,Yuan Renminbi,Yearly,Male,
Chevrolet,Vacaria,Real,Never,Male,Papiamento
Chevrolet,Doghs,Dram,Daily,Female,
Toyota,Svilajnac,Dinar,Once,Female,
Subaru,,Krone,Monthly,,Bulgarian
Ford,Trần Văn Thời,,Daily,,
Acura,Dakoro,Franc,Monthly,Male,Papiamento
,,Real,Once,Male,
,Huanren,Yuan Renminbi,Seldom,Female,
Aston Martin,Vermil,Euro,Daily,Female,
,,,Weekly,,
,Turośń Kościelna,Zloty,Yearly,Female,
Nissan,Churubamba,Sol,Monthly,Female,
GMC,Cabeço,,Seldom,Female,Catalan
,Bazzāryah,Shekel,Seldom,Male,
,Lahad Datu,Ringgit,Often,Female,
Ford,Aḑ Ḑil‘,,Daily,Female,Tsonga
,San Antonio,Peso,Often,Male,
BMW,Taquarituba,Real,,Female,
Mercedes-Benz,Axioúpoli,Euro,Never,Female,
Oldsmobile,Chenzhuang,,Monthly,Female,
Pontiac,,Dirham,Daily,Female,Greek
Subaru,,Peso,Seldom,Female,
Dodge,Changzheng,Yuan Renminbi,Often,Female,
Ford,Xinfengjie,Yuan Renminbi,Never,Male,Burmese
,Luqiao,Yuan Renminbi,Never,Female,
Chevrolet,,Peso,Monthly,Female,
GMC,Borda da Mata,Real,Never,Female,
,Angao,Yuan Renminbi,Seldom,Female,
Volkswagen,,Ruble,Often,Male,
,,Yuan Renminbi,Often,Male,
Dodge,Rābigh,,Never,,Danish
Honda,Watergrasshill,Euro,Once,Male,
Subaru,Padurung,Rupiah,Never,Male,
,Karangdalam,Rupiah,,,
Suzuki,Shumerlya,Ruble,Monthly,Male,
Mitsubishi,Buliok,,Daily,Female,
Mitsubishi,Västerhaninge,Krona,Yearly,Female,
Dodge,Maubasa,Rupiah,Weekly,Male,
Aston Martin,Nanyang,Yuan Renminbi,Yearly,Female,Bengali
Lexus,Jatibonico,Peso,Yearly,Female,
Mazda,Qutun,Yuan Renminbi,Weekly,Male,
Ford,,Lev,Monthly,Male,
Suzuki,Kazinka,Ruble,Never,Female,Tsonga
Pontiac,Ráquira,Peso,Weekly,Male,
Pontiac,Porto Salvo,Euro,Seldom,,
Pontiac,Cortes,Euro,Often,,
,Nanaimo,Dollar,Weekly,Female,
Ford,Arcueil,Euro,Once,,
Hyundai,Buyunshan,Yuan Renminbi,Daily,Male,
Ford,,Rupiah,Daily,,
,Bagumbayan,Peso,Often,Male,Moldovan
Mercedes-Benz,Weixing,Yuan Renminbi,Often,Female,
Saturn,Velingrad,Lev,Yearly,Male,
Lexus,,Zloty,Never,Female,
Volvo,Sakchu-ŭp,Won,Weekly,Female,
Volkswagen,Cateel,Peso,Weekly,Female,
Pontiac,La Paz,Peso,Often,Male,
Hyundai,,Euro,Daily,Female,
Pontiac,Cipari,Rupiah,Seldom,Male,
Jaguar,Quxi,Yuan Renminbi,Seldom,Male,
Dodge,Karema,Shilling,Weekly,Male,Croatian
Porsche,Santa Rosa,Sol,Often,Female,Bosnian
Mercury,Sabinópolis,Real,Daily,Male,
Dodge,Nanyang,Yuan Renminbi,Monthly,Male,
Honda,,,Seldom,Male,
Chevrolet,,Rial,Seldom,Male,
Dodge,Sarvābād,Rial,Never,Male,
Suzuki,Pocpo,Boliviano,Weekly,Female,Moldovan
GMC,Vatutine,Hryvnia,Seldom,Male,
Aston Martin,Bantog,Peso,Monthly,Female,
Volkswagen,Numan,Naira,Once,Male,
Chevrolet,Haarlem,Euro,Seldom,Female,Romanian
,Ibotirama,Real,Seldom,Female,
Dodge,Asbest,Ruble,Yearly,Female,Tamil
Chevrolet,Yeping,Yuan Renminbi,Daily,Female,
,,Koruna,Seldom,Male,
,Baoshui,Yuan Renminbi,Once,Male,
Scion,,Yen,Yearly,Female,
Kia,Korsze,Zloty,Monthly,Male,
,Saguday,Peso,Daily,Male,
Saab,Utrecht (stad),,Often,Female,
Infiniti,Maluanluan,Peso,Seldom,Male,Tamil
,Paris 19,Euro,Daily,Female,
Mercedes-Benz,Tangping,Yuan Renminbi,Never,,Tajik
,San Miguel,Peso,Weekly,,
Mitsubishi,Giawang,,Monthly,Male,
GMC,Yiyang,,Never,,
Toyota,Mauraro,Peso,Often,Male,
Infiniti,São Raimundo Nonato,Real,Yearly,Female,Dhivehi
Hyundai,Kandun,Yuan Renminbi,,Female,Lao
Lincoln,,Rupiah,Never,Male,
Bentley,Dorupare,,Seldom,Male,Swahili
,,,,Female,Nepali
Ford,San Miguel,,Often,,Bengali
Volvo,Iguape,Real,,Male,Moldovan
,Ibarra,Dollar,Yearly,Male,Papiamento
Volvo,,,Monthly,Female,
Mitsubishi,Cevicos,Peso,Never,Male,Indonesian
Porsche,,Euro,Often,,
,Nakasongola,Shilling,Monthly,Female,
Lincoln,La Plata,Peso,Monthly,Male,Korean
Chevrolet,Wysoka,Zloty,Seldom,Male,English
,Mojocoya,Boliviano,Daily,Female,
GMC,Buliwao,Peso,Daily,Female,
GMC,Boleszkowice,Zloty,Seldom,Male,
Kia,,Yuan Renminbi,Often,Female,
,Puolanka,Euro,Monthly,Female,Dhivehi
Toyota,Laotai,,Seldom,,
Mercury,Preston,Pound,,Female,
Lexus,Birigui,Real,Weekly,Female,Burmese
,Calarcá,Peso,Weekly,Female,
Honda,Itacurubí del Rosario,Guarani,Seldom,Male,Indonesian
,Dassa-Zoumé,Franc,Daily,Female,
Ford,,,Yearly,Male,
,Aveiro,,Once,Female,
Volkswagen,Pedreira,,Weekly,Male,
Mercedes-Benz,Fenglin,,Never,Female,
Mercedes-Benz,Jiblah,Rial,Seldom,Male,
Mercedes-Benz,Ilihan,Peso,Weekly,Male,
Mercedes-Benz,,Dollar,Yearly,Male,
BMW,Karangkancana,Rupiah,Weekly,Male,Fijian
Honda,Montego Bay,,Yearly,Female,
Land Rover,Pirojpur,Taka,Yearly,Female,Estonian
Volvo,Río Tercero,,Yearly,Male,
Buick,Longquan,Yuan Renminbi,Never,Male,Dari
Lexus,Błaszki,,Never,Male,
Toyota,São João de Meriti,Real,Often,Male,
Buick,Phanom Sarakham,Baht,Once,Male,
,Prilep,Euro,Seldom,,
Acura,Horizonte,Real,Once,Female,
BMW,,Euro,Monthly,Female,Montenegrin
Hyundai,,Yuan Renminbi,Often,Female,
Ford,Cisantri,Rupiah,Monthly,Female,
,Lambton Shores,,Seldom,,Swati
Toyota,Pokotylivka,Hryvnia,Yearly,Female,
Dodge,København,Krone,Daily,Male,
,,Yuan Renminbi,Monthly,Male,
GMC,Fucha,Yuan Renminbi,Daily,Male,
,Carvoeira,,Weekly,Female,
,Bureng,Dalasi,Yearly,,
Lincoln,,Peso,Yearly,,
,Tanjung,Rupiah,Often,Male,
,Bošovice,Koruna,Once,Female,
Infiniti,Matoupu,Yuan Renminbi,Often,Male,
,Buyende,Shilling,Seldom,Female,
,,Peso,Yearly,,Telugu
Nissan,Xingfu,Yuan Renminbi,Daily,Male,
,Salingogan,Peso,Daily,Female,
Ford,‘Amrān,,Daily,Male,
GMC,Kemuning,Rupiah,Weekly,Female,Azeri
Isuzu,Toulouse,Euro,Yearly,Female,
,Vincennes,Euro,Never,Female,
Subaru,Atiquizaya,Dollar,Weekly,Male,Telugu
Mazda,Polloc,Peso,Often,Female,
Volkswagen,Quintela,Euro,Weekly,Female,
Audi,Tall Rif‘at,Pound,Never,Male,
Oldsmobile,Ínfias,,Seldom,Male,Dari
Mitsubishi,Tiko,Franc,Yearly,Male,
Mitsubishi,Dulovo,,Never,,
,,Real,Weekly,Male,
Pontiac,Anilao,Peso,Once,Male,
Maybach,,Krona,Never,Male,
Mazda,Rabig,Rupiah,Daily,Male,
Chrysler,Rouyuan,Yuan Renminbi,Daily,Female,
GMC,,Cordoba,Seldom,Male,Arabic
Ford,San Agustin,Peso,Once,Female,Khmer
Daewoo,Maunatlala,Pula,Daily,,
Ford,Sindangan,Peso,Often,Female,Zulu
Volkswagen,Lišov,Koruna,Seldom,Female,
Nissan,,Euro,Often,Female,
Suzuki,Taihe,Yuan Renminbi,Yearly,Female,Afrikaans
Volvo,Tambaksumur,Rupiah,Weekly,,
,,Yuan Renminbi,Weekly,Female,
Audi,Tianyu,Yuan Renminbi,,Female,
Acura,,Sol,Never,Female,
Rolls-Royce,Atabayan,Peso,,Female,Dutch
Kia,Dongwan,Yuan Renminbi,Once,Female,
Honda,Twante,Kyat,Never,Male,
Toyota,Cerenti,Rupiah,Never,Male,Swedish
Toyota,Dauriya,Ruble,Once,Male,
,Roma,Euro,Never,Female,
Porsche,El Paraíso,Lempira,Seldom,Female,
Hyundai,Lindavista,Peso,Yearly,Female,Assamese
Rolls-Royce,München,Euro,Never,Male,
Chrysler,Fantino,Peso,Often,Female,
,Tytuvėnėliai,Litas,Daily,,Croatian
Lexus,San José,Colon,Seldom,,
,,Dollar,Monthly,Female,Gagauz
Volkswagen,Portariá,Euro,Seldom,Female,
Mercedes-Benz,,Rupiah,Weekly,Male,
,Pantaibesar,,Never,Male,
Mercedes-Benz,Rebrikha,Ruble,Never,Male,
,,,Monthly,Male,
Eagle,São Pedro,Euro,Once,Female,
,San Jose,Peso,Daily,Female,
Chevrolet,,Zloty,Seldom,Female,
,Panjāb,Afghani,Daily,Female,
,,,Daily,Female,
,Kirovskiy,Ruble,Often,Male,
,Veldhoven,Euro,Monthly,,
Oldsmobile,San José de La Montaña,Peso,Seldom,Male,Moldovan
Pontiac,Shahrīār,Rial,Weekly,Male,
,Babakankalong,Rupiah,Yearly,Male,
Audi,Pilang,Rupiah,Once,Male,
Geo,Sukosari,Rupiah,Yearly,Female,
Mercedes-Benz,Tangjia,Yuan Renminbi,Seldom,Female,
,Przelewice,Zloty,Monthly,Male,
Chevrolet,Kedungbulu,Rupiah,Yearly,Female,
Lexus,Notre-Dame-des-Prairies,Dollar,Once,Female,
Volkswagen,Duping,,Daily,Male,
,Fovissste,Peso,Never,,Khmer
Ford,Puan,Won,Monthly,Female,
Chevrolet,Baguim do Monte,Euro,Seldom,Male,
Kia,Sertânia,Real,Yearly,Male,
Mitsubishi,Pemba,Metical,Often,Male,
GMC,Cariamanga,Dollar,Weekly,,
,Thiais,Euro,Once,,
,Reguengos de Monsaraz,Euro,Monthly,Male,Georgian
,Hrušica,Euro,Weekly,Male,
Infiniti,Suai,,Never,Male,
Saab,Huambo,Kwanza,Monthly,,
Chevrolet,Citeureup,Rupiah,Seldom,Female,Tajik
Nissan,Karak City,Dinar,Once,Male,
Mitsubishi,Paita,Sol,Never,Male,Dzongkha
GMC,Careva Ćuprija,,Seldom,Female,Armenian
GMC,,Rial,,Male,Belarusian
MINI,Saint-Denis,,Daily,Female,
Hummer,Qingdao,Yuan Renminbi,Monthly,Female,Afrikaans
Lotus,Senador Pompeu,Real,Seldom,,
Mazda,Maiwang,Yuan Renminbi,Monthly,Male,
Lincoln,Karangasem,Rupiah,Often,Male,
Mazda,Sertãozinho,Real,Seldom,Male,
,Cibulakan,Rupiah,Monthly,Male,
Daihatsu,Enschede,,Once,Male,Amharic
Nissan,Smithers,Dollar,Once,Male,
Mitsubishi,Kolbano,Rupiah,Never,Female,Kannada
Chevrolet,Semey,Tenge,Monthly,Female,
Lexus,Studzienice,,Once,Female,
Infiniti,Kyzyl-Kyya,Som,,Male,
Kia,,Koruna,Weekly,Female,Tajik
Mazda,Fotolívos,Euro,Yearly,Male,
Daewoo,Dzhebariki-Khaya,Ruble,Once,,
Lexus,,Birr,Monthly,Female,Swedish
Pontiac,Polyarnyy,Ruble,Weekly,,
Land Rover,Jetafe,Peso,,Male,
,Rafaï,Franc,,Female,
Toyota,Beilun,Yuan Renminbi,Once,Female,Assamese
Mazda,Dagsar,,Often,Female,
Lincoln,Grecheskoye,Ruble,Yearly,Male,
Lincoln,Arras,Euro,Weekly,Female,
Honda,Napoli,Euro,Never,Male,Ndebele
,Oslo,,Once,,
Volkswagen,San Esteban,,Seldom,Male,
,Sebuku,,Never,Female,
GMC,Hamburg Bramfeld,Euro,Weekly,Male,
Dodge,Faisalābād,Rupee,Seldom,Male,
Eagle,Velyka Bilozerka,Hryvnia,Monthly,Male,
,,Real,Seldom,Female,
Pontiac,Tabia,Dirham,Often,,Oriya
Saturn,Bačka Palanka,,Yearly,Female,
Dodge,Huangyan,Yuan Renminbi,Monthly,Male,
Honda,Puqi,Yuan Renminbi,Once,Male,
Mercedes-Benz,Sumberdangdang,Rupiah,Once,Female,Bislama
,Peristerá,Euro,Daily,Female,
,Anserma,,,Female,Tswana
BMW,Lallayug,Peso,Often,Male,
Lincoln,Terny,Hryvnia,Seldom,Male,
Jeep,Cumanayagua,Peso,Monthly,Female,
Dodge,Oyem,Franc,Daily,Female,
Chevrolet,Barranca,Sol,Weekly,Male,
Honda,Karangagung Timur,,,Female,
Buick,Abreus,Peso,Yearly,Male,Pashto
Mitsubishi,Talayan,Peso,Monthly,Male,
Porsche,Villa Ojo de Agua,Peso,Often,Female,Korean
Hyundai,Baliuag Nuevo,,Daily,Male,
Ford,Cikeper,Rupiah,Yearly,Female,
GMC,Brvenica,Denar,,Male,Ndebele
Mercedes-Benz,Gantang,,Monthly,Male,
GMC,Yanqian,,Monthly,Male,
,Kumane,Dinar,Seldom,Male,Tetum
Ford,Selnica,Kuna,Weekly,Female,Kazakh
,Dongbian,Yuan Renminbi,Seldom,Female,Somali
Porsche,Poroçan,Lek,Monthly,Female,
Volkswagen,Peza e Madhe,Lek,Yearly,Female,
Pontiac,Wulong,Yuan Renminbi,Weekly,,
GMC,,Euro,Daily,Female,
,Bayantal,Tugrik,Yearly,Male,Dzongkha
Eagle,Norton,Pound,Yearly,Female,
